Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
Imatinib mesylate,Gleevec,2005-08-25,Treatment of idiopathic hypereosinophilic syndrome including acute and chronic eosinophilic leukemia,Designated/Approved,,,Treatment of adult patients with hypereosinophic syndrome (HES) and/or chronic eosinophilic leukemia (CEL) who have the FIP1L1-PDGFRÿ}ÿ± fusion kinase (mutational analysis or FISH demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFRÿ}ÿ± fusion kinase negative or unknown,2006-10-19,2013-10-19,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,209005.0
imetelstat,Rytelo,2015-12-23,Treatment of myelodysplastic syndrome,Designated/Approved,,,treatment of adult patients with low- to intermediate-1 risk myelodysplastic syndromes (MDS) with transfusion-dependent anemia requiring 4 or more red blood cell units over 8 weeks who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESA),2024-06-06,2031-06-06,treatment of adult patients with low- to intermediate-1 risk myelodysplastic syndromes (MDS) with transfusion-dependent anemia requiring 4 or more red blood cell units over 8 weeks who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESA),Geron Corporation,"919 E. Hillsdale Blvd., Suite 250",,Foster City,California,' 94404 ' ,United States,501415.0
Imiglucerase,Cerezyme,1991-11-05,"Replacement therapy in patients with types I, II, and III Gaucher's disease.",Designated/Approved,,,Enzyme replacement therapy in patients with type I Gaucher's disease.,1994-05-23,2001-05-23,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,' 02139 ' ,United States,62491.0
Immune Globulin (Human),Gamunex-C,2004-07-27,Treatment of chronic inflammatory demyelinating polyneuropathy,Designated/Approved,,,Treatment of Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) to improve neuromuscular disability and impairment and for maintenance therapy to prevent relapse,2008-09-12,2015-09-12,,"Grifols Therapeutics, Inc.",8368 US 70 Busines Hwy West,,Clayton,North Carolina,' 27520 ' ,United States,185604.0
immune globulin infusion (human),Gammagard Liquid,2006-07-20,Treatment of multifocal motor neuropathy,Designated/Approved,,,Maintenance therapy to improve muscle strength and disability in adult patients with Multifocal Motor Neuropathy (MMN).,2012-06-22,2019-06-22,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,224906.0
Immune Globulin Infusion 10% (Human) with Recombinant Human Hyaluronidase,HyQvia,2016-03-31,Treatment of chronic inflammatory demyelinating polyneuropathy,Designated/Approved,,,treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults,2024-01-12,2031-01-12,treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,514315.0
Immune Globulin Intravenous (Human),Octagam 10%,2017-04-19,Treatment of dermatomyositis,Designated/Approved,,,Treatment of dermatomyositis in adults,2021-07-15,2028-07-15,Treatment of dermatomyositis in adults,"OCTAPHARMA USA, Inc.",117 West Century Road,,Paramus,New Jersey,' 07652 ' ,United States,564716.0
immune globulin intravenous (human),Gammaplex,2011-04-29,Treatment of idiopathic thrombocytopenic purpura (also known as primary immune thrombocytopenia),Designated/Approved,,,Idiopathic thrombocytopenic purpura,2013-03-08,,,Bio Products Laboratory,Dagger Lane,Hertfordshire,England,,' ' ,United Kingdom,335211.0
"Immune globulin intravenous, human",Gamimune N,1993-02-18,Infection prophylaxis in pediatric patients affected with the human immunodeficiency virus.,Designated/Approved,,,"For prophylaxis of children with clinical or immunologic evidence of human immunodeficiency virus to decrease the frequency of serious and minor bacterial infections and the frequency of hospitalization, and to increase the time free of serious bacterial infections.",1993-12-27,2000-12-27,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,' 06516 ' ,United States,70592.0
"Immune Globulin Subcutaneous (Human), 20% Liquid",Hizentra,2014-08-18,Treatment of chronic inflammatory demyelinating polyneuropathy (CIDP),Designated/Approved,,,Indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment.,2018-03-15,2025-03-15,Indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment,CSL Behring,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,' 19406 ' ,United States,439914.0
inebilizumab,Uplizna,2016-02-10,Treatment of neuromyelitis optica and neuromyelitis optica spectrum disorders,Designated/Approved,,,Uplizna is indicated for for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,2020-06-11,2027-06-11,Indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,Horizon Therapeutics Ireland DAC,70St. Stephen’s Green,,Dublin 2,,' D02 E2X4 ' ,Ireland,490415.0
infigratinib,Truseltiq,2019-09-11,Treatment of cholangiocarcinoma,Designated/Approved/Designation Withdrawn or Revoked,2023-08-04,,"Treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test. (Indication withdrawn 5/16/2024)",2021-05-28,2023-08-04,,"QED Therapeutics, Inc.","1800 Owens Street, 12 Floor",,San Francisco,California,' 94148 ' ,United States,707019.0
infliximab,Remicade,2003-11-12,Treatment of pediatric (0 to 16 years of age) ulcerative colitis,Designated/Approved,,,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy,2011-09-23,2018-09-23,,"Janssen Biotech, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,' 19355 ' ,United States,175903.0
infliximab,Remicade,1995-11-14,Treatment of Crohn's disease,Designated/Approved,,,"Treatment of moderately to severely active Crohn's disease for the reduction of the signs and symptoms, in patients who have an inadequate response to conventional therapies; and treatment of patients with fistulizing Crohn's disease for the reduction in the number of draining enterocutaneous fistula(s).",1998-08-24,2005-08-24,,"Centocor, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,' 19355 ' ,United States,92495.0
Infliximab,Remicade,2003-11-12,Treatment of pediatric (0 to 16 years of age) Crohn's Disease,Designated/Approved,,,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients with moderately to severely active Crohn's disease who have had an inadequate response to conventional therapy,2006-05-19,2013-05-19,,"Centocor, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,' 19355 ' ,United States,175803.0
Inotersen,TEGSEDI™,2012-07-24,Treatment of transthyretin amyloidosis (ATTR amyloidosis),Designated/Approved,,,TEGSEDI¿ is indicated for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults.,2018-10-05,2025-10-05,TEGSEDI¿ is indicated for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults.,"Akcea Therapeutics, Inc.",22 Boston Wharf Road,9th Floor,Boston,Massachusetts,' 02210 ' ,United States,374512.0
inotuzumab ozogamicin,Besponsa,2013-03-25,Treatment of B-cell acute lymphoblastic leukemia,Designated/Approved,,,treatment of relapsed or refractory CD22-positive B-cell precursor acute lymphoblastic leukemia (ALL) in adult and pediatric patients 1 year and older,2024-03-06,2031-03-06,treatment of relapsed or refractory CD22-positive B-cell precursor acute lymphoblastic leukemia (ALL) in pediatric patients 1 year and older,"Wyeth Pharmaceuticals, LLC",P.O. Box 8299,,Philadelphia,Pennsylvania,' 19101 ' ,United States,391413.0
inotuzumab ozogamicin,,2013-03-25,Treatment of B-cell acute lymphoblastic leukemia,Designated/Approved,,,Treatment of adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),2017-08-17,2024-08-17,Treatment of adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL),"Wyeth Pharmaceuticals, LLC",P.O. Box 8299,,Philadelphia,Pennsylvania,' 19101 ' ,United States,391413.0
Interferon alfa-2a,Roferon A,1989-06-06,Treatment of chronic myelogenous leukemia.,Designated/Approved/Designation Withdrawn or Revoked,2024-09-12,,Treatment of chronic myelogenous leukemia.,1995-10-19,2002-10-19,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,' 07110 ' ,United States,36989.0
Interferon alfa-2a (recombinant),Roferon-A,1987-12-14,Treatment of AIDS related Kaposi's sarcoma.,Designated/Approved/Designation Withdrawn or Revoked,2024-09-12,,,1988-11-21,1995-11-21,,"Hoffmann-La Roche, Inc.",340 Kingsland Street,,Nutley,New Jersey,' 07110 ' ,United States,25987.0
Interferon alfa-2b (recombinant),Intron A,1987-06-24,Treatment of AIDS-related Kaposi's sarcoma.,Designated/Approved,,,Treatment of selected patients with AIDS-related Kaposi's sarcoma.,1988-11-21,1995-11-21,,Schering Corporation,2000 Galloping Hill Road,,Kenilworth,New Jersey,' 07033 ' ,United States,19187.0
Interferon beta-1a,Avonex,1991-12-16,Treatment of multiple sclerosis.,Designated/Approved,,,Treatment of relapsing forms of multiple sclerosis to slow the accumulation of physical disability and decrease the frequency of clinical exacerbations.,1996-05-17,2003-05-17,,"Biogen, Inc.",14 Cambridge Center,,Cambridge,Massachusetts,' 02142 ' ,United States,62791.0
Interferon beta-1b,Betaseron,1988-11-17,Treatment of multiple sclerosis.,Designated/Approved,,,In ambulatory patients with relapsing-remitting multiple sclerosis to reduce the frequency of clinical exacerbations.,1993-07-23,2000-07-23,,Chiron Corp. & Berlex Laboratories,4560 Horton Street,,Emeryville,California,' 94608 ' ,United States,31888.0
Interferon gamma 1-b,Actimmune,1988-09-30,Treatment of chronic granulomatous disease.,Designated/Approved,,,,1990-12-20,1997-12-20,,Horizon Therapeutic Ireland DAC,"Connaught House, 1st Floor",1 Burlington Road,Dublin 4,,' ' ,Ireland,29788.0
Interferon gamma-1b,Actimmune,1996-09-30,"Delaying time to disease progression in patients with severe, malignant osteopetrosis.",Designated/Approved,,,"Delaying time to disease progression in patients with severe, malignant osteopetrosis.",2000-02-10,2007-02-10,,Horizon Therapeutic Ireland DAC,"Connaught House, 1st Floor",1 Burlington Road,Dublin 4,,' ' ,Ireland,98796.0
intravenous carbamazepine,CARNEXIV,2013-06-27,Treatment of epilepsy patients who cannot take anything by mouth (NPO),Designated/Approved,,,"Replacement therapy for oral carbamazepine formulations, when oral administration is temporarily not feasible, in adults with the following seizure types: (1) Partial seizures with complex symptomology; (2)Generalized tonic-clonic seizures; and (3) Mixed seizure patterns which include the above or other partial or generalized seizures",2016-10-07,2023-10-07,"Replacement therapy for oral carbamazepine formulations, when oral administration is temporarily not feasible, in adults with the following seizure types: (1) Partial seizures with complex symptomology; (2)Generalized tonic-clonic seizures; and (3) Mixed seizure patterns which include the above or other partial or generalized seizures",Lundbeck LLC,"3530 Toringdon Way, Suite 200",,Charlotte,North Carolina,' 28277 ' ,United States,265508.0
Iobenguane I 123,AdreView,2006-12-01,For the diagnosis of pheochromocytomas,Designated/Approved,,,To be used in the detection of primary or metastatic pheochromocytomas or neuroblastomas as an adjunct to other diagnostic tests,2008-09-19,2015-09-19,,"GE Healthcare, Inc.",101 Carnegie Center,,Princeton,New Jersey,' 08540 ' ,United States,226506.0
Iobenguane I 123,Adreview,2006-12-01,For the diagnosis of neuroblastomas,Designated/Approved,,,To be used in the detection of primary or metastatic pheochromocytomas or neuroblastomas as an adjunct to other diagnostic tests,2008-09-19,2015-09-19,,"GE Healthcare, Inc.",101 Carnegie Center,,Princeton,New Jersey,' 08540 ' ,United States,226406.0
Iobenguane I 131,Azedra Ultratrace,2006-01-18,Treatment of neuroendocrine tumors,Designated/Approved,,,"AZEDRA is indicated for the treatment of adult and pediatric patients 12 years and older with iobenguane scan positive, unresectable, locally advanced or metastatic pheochromocytoma or paraganglioma who require systemic anticancer therapy.",2018-07-30,2025-07-30,"AZEDRA is indicated for the treatment of adult and pediatric patients 12 years and older with iobenguane scan positive, unresectable, locally advanced or metastatic pheochromocytoma or paraganglioma who require systemic anticancer therapy.","Progenics Pharmaceuticals, Inc.",One World Trade Center.,"47th Floor, Suite J",New York,New York,' 10007 ' ,United States,216205.0
Iobenguane Sulfate I 131,,1984-11-14,For use as a diagnostic adjunct in patients with pheochromocytoma.,Designated/Approved/Designation Withdrawn or Revoked,,,Adjunctive diagnostic agent in the localization of primary or metastatic pheochromocytomas.,1994-03-25,2001-03-25,,University of Michigan,UH B1 H410/0028,1500 E. Medical Center Drive,Ann Arbor,Michigan,' 48109 ' ,United States,2284.0
ipilimumab,Yervoy,2004-06-03,"Treatment of high risk Stage II, Stage III, and Stage IV melanoma",Designated/Approved,,,"For the adjuvant treatment of patients with cutaneous melanoma with pathologic involvement of regional lymph nodes of more than 1 mm, who have undergone complete resection including total lymphadenectomy.",2015-10-28,2022-10-28,"For the adjuvant treatment of patients with cutaneous melanoma with pathologic involvement of regional lymph nodes of more than 1 mm, who have undergone complete resection including total lymphadenectomy.",Bristol-Myers Squibb Company,P.O. Box 5326,,Princeton,New Jersey,' 08543 ' ,United States,177703.0
